Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Total
1979,94405,145610,75386,67932,38994,26589,42045,59536,20699,34949,41571,70386,718102
1980,92517,96585,101797,80500,53627,37721,45665,47624,34889,47387,37498,68434,744244
1981,73845,75996,93947,63246,37226,23647,25168,28262,21493,29005,32084,60802,564721
1982,69165,81665,81796,56259,31248,18985,23111,29049,25022,33944,34009,65915,550168
1983,72105,79968,84433,59209,44570,27576,30348,26189,23056,28780,40683,60522,577439
1984,78179,92958,97997,71594,36831,22900,26928,28283,26494,33688,47202,65604,628658
1985,87719,110139,109046,76131,41505,34807,26379,28732,24205,30487,52152,76344,697646
1986,93007,112967,120713,98993,51024,25271,25510,31136,25685,32164,52037,70565,739072
1987,100672,107662,114552,84997,62830,38834,34629,37656,27660,34663,56210,87128,787493
1988,133552,164724,155497,120486,61844,46557,48432,53154,41846,49613,60979,89504,1026188
1989,127647,137603,133571,84281,39312,44556,49266,51713,38515,51415,69340,86153,913372
1990,122121,131994,132341,111298,46134,46676,49461,54334,44768,48656,75518,94624,957925
1991,138817,149194,150641,110235,94660,68937,61878,71602,81298,86312,126458,151982,1292014
1992,142197,163917,158688,126842,100595,59923,70128,59786,7610,23820,30644,81536,1025686
1993,106855,119887,121353,96384,76531,62341,66214,61743,51114,58058,67870,85356,973706
1994,103824,114850,121521,95785,65038,44801,51623,47314,47692,58634,64073,71300,886455
1995,93967,110040,110731,91298,67638,46409,52860,50107,50551,51712,57410,37743,820466
1996,65868,124372,110571,97373,71766,46886,51640,55346,51386,52018,73584,89357,890167
1997,102559,128164,132529,88382,72557,49464,55966,59598,45536,79997,85065,89715,989532
1998,118179,128335,130692,105733,94166,66404,76686,82053,56280,72328,92830,94529,1118215
1999,118341,139935,145592,118254,82388,64672,68994,68676,58989,57213,73757,77171,1073982
2000,109488,131302,127298,100648,81748,44130,41367,56499,58225,73489,83271,87925,995390
2001,130610,159927,142544,105186,78059,63953,61905,52413,40968,54878,70801,88607,1049851
2002,116699,123767,138066,90924,59925,46614,52050,51891,46264,82933,76566,83210,968909
2003,116320,131014,135722,94008,68448,58174,64537,65496,55460,70974,81601,98894,1040648
2004,142612,160274,143197,70008,139849,135819,56238,59426,35407,66229,77465,94831,1181355
2005,125381,138049,236941,174997,92696,71094,71419,26747,44948,16674,128727,106164,1233837
2006,90074,112603,115621,90708,55507,49018,54757,81053,74328,87878,62638,79837,954022
2007,100546,102862,241397,101656,60350,48303,53336,49587,79819,81573,74858,80477,1074764
2008,87123,111172,104390,82543,60147,50393,54174,44632,27457,43760,70884,85443,822118
2009,104251,107537,115054,93031,64156,48696,55364,51957,44519,54642,69927,91748,900882
2010,104491,112674,137350,91638,67704,46388,55954,52731,52433,64447,48242,81486,915538
2011,108115,121341,131176,92257,55073,52165,56712,52814,42787,54443,76578,90890,934351
2012,128689,133777,132603,99501,73188,55627,65022,73081,49588,84150,100040,146640,1141906
2013,142377,132732,144436,91347,73300,59024,61541,60541,50742,38034,80206,112836,1047116
2014,127802,132334,167972,97458,62634,58372,64324,73839,60866,68964,68965,127371,1110901
2015,142660,145148,149383,108982,70711,61840,72567,67529,32717,62000,84937,78953,1077427
2016,116221,120197,134815,65054,73548,64110,53064,47351,44750,55600,69074,87123,930907
2017,194200,120646,126818,98915,74300,68958,52425,85059,17708,42574,49593,87361,1018557
